Song lyrics	Mood	Offensive
ho patjhad aate hi rahte hai 	0	0
uljhan hajar koi dale ho rukte kahan hai dilwale	0	0
gharwaale khaaye chakkar	0	0
mujhe tumse mohabbat hai magar mai kah nahi sakta	0	0
pehle mujhe le do dher se khilone	0	0
dhire se jana bagiyan me	0	0
are maine kya socha hai	0	0
rakhunga main dil ke paas, mat ho meri jaan udaas	0	0
jana hai mujhko kaha jana hai mujhko kaha	0	0
mai tere pyar me pagal aise ghumta hu	0	0
ram jaane kya ho ab, kaise hua yeh gajab	0	0
yaaro se jalne ka kaato pe chalne ka 	0	0
ke dil ki agan se pighal jaayega tu	0	0
angdayi lu to bijali sharmaaye, ha	0	0
raste me kahe reh gaye humnashe	0	0
kuchh bhi ho lekin maza aa gaya meri jaan ho	0	0
kaise-kaise nakhre karte gharwalo se ham	0	0
koyi kisi ka nahi ye jhoothhe, 	0	0
kaisa aa aa 	0	0
sona le ja re chandi le ja re	0	0
aankho hi aankho me yaro ka dil kho jata hai	0	0
baitha diya falak pe, mujhe khat se uthaake	0	0
terii marzii pe ab baat thaharii	0	0
inhin ankhon ke jaricho me to ham baste hai	0	0
ham sab ki parwah kare kyu, sabne hamara kiya kya	0	0
sab khel hai taqdeer ka 	0	0
maanake dil ye kahataa hai, meri khushiyo kaa tu hai khajaanaa	0	0
bol hai manjur	0	0
aag pani me lagate huye halaat ki raat	0	0
nangi nachavai jati hai, aiyyasho ke darbaro me 	0	0
jaag uthi taqdir hamari	0	0
kyon duur duur hone lage	0	0
hmm	0	0
pahale kisi ko dil me bithaao	0	0
ke mauj banjaara le gaya le gaya 	0	0
ye milan hamane dekhaa yahi par	0	0
mohe panghat pe nandlaal chhed gayo re	0	0
yaar ladki thanedar hai	0	0
jin raaho par hansake chalo tum	0	0
aayi wo kaibare ki raani 	0	0
kehna hai kuch agar to bolo mein mishri gholo	0	0
re roz mai apane hi	0	0
mai tum ko aajamao, mujhe tum aajamao	0	0
apni khushi se, kisi ne jo kisi se 	0	0
tum kya jaano kaise aayi	0	0
aur too hee aas kaa taara, ha ha ha ha	0	0
ho iske dekho gaal gulabi 	0	0
bhagvan ek kusur ki itani badi saja	0	0
dushman ke kile par bhi na ki tune chadhaai	0	0
ye khidki jo bandh rahti hai, ye khidki jo bandh rahti hai	0	0
han dhundhe tera pyar raste raste	0	0
aage nikal aaye hum wo pichhe reh gaye 	0	0
hum aadha aadha	0	0
utna aata hai nikhar 	0	0
pehle chiz ka nam batao	0	0
hamko pilaaye pyaar ki sharaab	0	0
haiyya ho haiyya re haiyya, haiyya ho	0	0
jinhe is jaha se bhula diya	0	0
arey lagne bhi de thokar	0	0
pal jo ye jaanewala hai 	0	0
par kitane roz chalega, dhokhe se jo bhi kam bana 	0	0
monica o my darling	0	0
sapno ko lut ke	0	0
tu mil gaya, tu mil gaya mujhko piya	0	0
phir aayega na mausam bahaar ka tu jaane kya mazaa intezaar ka	0	0
meri khushiyan hi naa baante	0	0
hai naam hotho me ab bhi lekin	0	0
haatho me haatho ko daale, phirate hai aashiq niraale	0	0
abhi roop kaa ek saagar ho tum	0	0
aaja aaja ho aaja aaja meri baho me	0	0
