Song lyrics	Mood	Offensive
ye bhigi raat ye bhiga badan ye husn ka aalam	0	0
jhum jhum dhalti raat	0	0
chal yar dhakka mar, chal chal chal mere sathi	0	0
kisne churayi teri meri nindiya	0	0
hum bewfa hargiz na the par hum wafa kar na sake	0	0
saahilo pe bahane vaale 	0	0
jivan hai agar zahar to pina hi padega	0	0
kab loge khabar more ram	0	0
aaya mai dauda dauda kha pi lo ram thoda thoda	0	0
dekho ji dekho sun lo ye baat, jiwan me ek baar aana singapur	0	0
pyaar ke qisse adhure rah gaye	0	0
tune oo rangile kaisa jadu kiya 	0	0
ab tak dabi thi ek mauj arma 	0	0
apna to bana kar dekho	0	0
na ab manzil hai koi na koi raastaa hai	0	0
dil ki muraade koi paa gayaa	0	0
kabhi ho sake na kisi ke ham	0	0
tu hi meraa jivan, tu hi jine kaa sahaaraa	0	0
o jaan-e-tamanna kidhar jaa rahee ho	0	0
duniya ne in ke darshan me	0	0
paiso ki to mai barsaat karunga	0	0
soye sapne apne jage	0	0
kar du changa	0	0
jo bhi kiya hamne kiya shan se, shan se	0	0
police ko bulaao khatra hai aman ka	0	0
are le le mera rang mere sajna	0	0
pyar ka wada fifty fifty kya hai irada fifty fifty	0	0
kya sath laye kya chhod  aaye	0	0
	0	0
