Song lyrics	Mood	Offensive
jara si palke jhuki jhuki, bhave ghaneri kasi kasi	0	0
mere chehre pe teri thahri thahri do aankhe	0	0
phir bachche ko uthaaya gale se yu lagaaya	0	0
tum tak jo pahuchati hai is mod se jaate hai	0	0
gunagunae aise jaise bajate ho ghugharu kahi pe	0	0
likh liya naam ispe tera	0	0
vaise hai is desh me sab kuch kahane ko azadi	0	0
ju ju ju ju ru ju, i' ll never part from you	0	0
tu hai kis thaali ka	0	0
kahi dip jale kahi dil zara dekh le aa kar parvane	0	0
ke saaqi ne lab se mere chhin kar 	0	0
are divana hu in naino ka in se mai nain ladaunga	0	0
ik rasta hai jindagi jo tham gaye toh kuchh nahi	0	0
meri halat jaisi hai, tera hal bhi aisa hai 	0	0
jaise sada deti hain khoyi hui manjil	0	0
ye gujrati vo bangali	0	0
mahke hai aanchal mera	0	0
aane do agar aata hai dhar phir apne aap ud jaye	0	0
chal sanyasi mandir me	0	0
sharamaati hui koi qadamo se utarati hai	0	0
saat janam ke waaste ek wada pyar ka	0	0
kabhi bhi na iss ka fasana banega	0	0
pite pite 	0	0
jay govindam jay gopaalam 	0	0
ho maine pyar	0	0
vo bhi mujhko samajh na paya hai	0	0
tum toh dil ke taar chhedakar ho gaye bekhabar	0	0
har baat me usaki tha vo asar, jo nahi baduk ki goli me	0	0
tera hi tha intazar aa	0	0
o jiya o, jiya o jiya kuchh bol do, are o dil ka parda khol do	0	0
toh sapno ki is barat ke liye aaj rat ke liye	0	0
jab se huyi hai tumse mohabbat, milta raha hu milta rahunga	0	0
likhe jo khat tujhe	0	0
hai bheed itni par dil akela	0	0
yaar ki shaadi hai	0	0
kisi ko to roti ki kamaai maar gayi	0	0
kahi aisa na ho koi tumhara dil bhi le jaye	0	0
mohabbat bade kam ki chiz hai, kam ki chiz hai 	0	0
duniya lagane lagi koi sapno ki wadi	0	0
are jhuth mat bol aa nahi ja raha	0	0
teer chala kya soch raha hai o bhole kaatil	0	0
kissi ki, madbhari aankho me kho chuka	0	0
saal sattara sambhaala ise maine	0	0
khel jeevan maran kaa racaaye vohi,	0	0
ek chabhi chabhi sapne hazaar, sab aar paar ka phera hai	0	0
mai zami par hun na samajhaa na parakhanaa chaahaa	0	0
bechain hoke tufaan me jaise	0	0
ab kisika mere dil intzar na raha	0	0
hmm hmm hm hmm aa haa ha ha ha	0	0
jo hai karta woh hai bharta hai yaha kaa yeh chalan) - (2)	0	0
pyar se sara gulashan mahake nafarat se koi gul na khilega	0	0
koi das sava das ka waqt tha 	0	0
ganga maiya me jab tak ke pani rahe	0	0
i am sorry, i am sorry	0	0
aage iske kuch bhi nahi tu pad gaya kis uljhan me	0	0
najdik aa ja phir dekhu tujhako ji bhar ke	0	0
khushi se kyu itraye	0	0
us rat nahi phir ghar jata, vo chad yahi so jata hai	0	0
tumhaare charno ki dhool ham hain	0	0
mila na sahara to aaogi dubara khich ke meri sada pe	0	0
teri gali maein aata sanam	0	0
vaadaa teraa vaadaa, vaadaa teraa vaadaa - (2)	0	0
kabhi tu ruth baithi, kabhi tu muskaraa_i, are !	0	0
bandhega dhaga kachcha, ham tum tab aur badhenge	0	0
palake jhuka de to iqarar samajho	0	0
khel hi khel me kyon jaan pe ban aayi hai	0	0
tere haatho me pehna ke chudiya	0	0
ye haqiqat nahi hai to kya hai	0	0
shaayad unakaa aakhiri ho yah sitam 	0	0
bailo ke gale me jab ghugharu jivan kaa raag sunaate hai	0	0
mai hu mai hu mai hu	0	0
do ghadi apni nigaho ka sahara de de	0	0
chauragi ke chauk me dekho matavaale bagaali	0	0
jiska hero tha albela jaise hari chail ka khela	0	0
o saiya ko dekh ke jaane kidhar gayo bichhua	0	0
prit patanga diye se kare	0	0
barso purana	0	0
hum bane tum bane ek duje ke liye	0	0
honth hansenge mere roenge yeh naina	0	0
maine tumko kina dhudna awara galiyo me	0	0
kauva jaise pankh mayur ke 	0	0
main kya karu ram mujhe buddha mil gaya	0	0
manzil manzil dhoom machaye	0	0
3) kaun aaegaa idhar, kisaki raah dekhe ham	0	0
vada to nibhaya, vada to nibhaya	0	0
kabhi zindagi mein koi gham na aye	0	0
dharati paravat hil sakate hai	0	0
tujhse suna na jaata sanam	0	0
arre naye daur ke devdas ka dekho to ye mukhda	0	0
tum mujhe dekh kar muskuratee raho	0	0
nazare juda na ho, aramaan khafa na ho	0	0
	o aa jaa re	0	0
khun pasine ki jo milegi to khayenge	0	0
nazron se lapakte hain sholay	0	0
majhdar me jislo chhod diya	0	0
nahi main aayi hu chhupke chhupaake	0	0
teri surat jo dekhle shair	0	0
tere hi khvaaba me kho gaye 	0	0
kisko yeh hosh hai apna begaana kya kahega	0	0
kisi shaayar se puchho, gazal ho yaa rubaa_i	0	0
yu to ganpat bhi hai jo shkati hai	0	0
arre hum tum pe marne waale hai koi gair nahin	0	0
dil ki bechain umango pe karam farmaao	0	0
laaye mai bhi toh dekhu tu jiski dhun me hai bawara	0	0
teri ek jhalak ne wo halat bana di	0	0
jab tere marmari hatho ko chhua tha maine	0	0
khud hi mar mitane ki ye zid hai hamari	0	0
kavita meri na bhayegi to tulsi ke dohe suna dunga	0	0
bijli ke tabassum ko nazaron mein bulaaya hai	0	0
pyaar naa jaane paapi duniya to aa chal karen yaara	0	0
taras rahe hai	0	0
hal-e-dil hamne sunaya, to bura man gaye	0	0
