Song lyrics	Mood	Offensive
jaha jaiyega hame paiyega	0	0
nazar ki zuban se samajh jaiyega	0	0
ga ke sunaye ham apni kahani	0	0
tere bina jiya jaye na	0	0
sine me dhadkan hai, baho me kangan hai	0	0
mohobbat nahi hai toh phir aur kya hai	0	0
mujhe dor koi khiche, teri or liye jaye	0	0
teri julfo ki aisi rangat hai	0	0
ye washington alabela newyork shahar ka mela	0	0
khuda ki kasam aaj paise vasul paise vasul 	0	0
vahi andhera hone par kyo sath chhod  chhup jaye	0	0
khulaa khulaa gagan ye hari bhari dharati	0	0
neki par chale aur badi se tale taki haste hue nikle dam 	0	0
hajir hai ye banda hukm karo	0	0
dusari ye shart hai hamari ki nain kisi se nahi ladaoge	0	0
yeh pal jo bit rahe hain inake nashe me, dil meraa gane laga hain	0	0
jao parades to, jaldi aana sajan	0	0
na jiite hai na marate bataao kyaa kare ham	0	0
jinaki nigaho ne ghayal kiya lege unhi se dil ki dava	0	0
saat saheliya khadi-khadi fariyad sunaye ghadi-ghadi	0	0
tu mujhse mai tujhse kuch kehte rahe	0	0
ansu ki sadi hain, ahon ki choli	0	0
mayake kee kabhee naa yad aaye, sasural me itana pyar mile	0	0
parabat bhi ho khade phir mil ke tal de	0	0
atka man apna ho atka man apna	0	0
kya karein dil ki jalan ko	0	0
apni to jaise-taise thodi aise yaa vaise	0	0
ho ude jab jab julfen teree 	0	0
tujhsa nahi hai koi harjayi ganv me	0	0
tum ho buddhu 	0	0
alla hu akabar alla	0	0
tumko kaise bhul gaya, dil ka yeh afsana	0	0
sachchi-jhuthi sahi chal jae thik hai	0	0
nind hai kya kaun si chiz jo maine tere pyar me khoyi nahi	0	0
dekh dekh dekh dekh mujh se na sharmaa	0	0
yeh gun gunatee wadiya, yeh phulo bharee daliya	0	0
aye panchee hum kismat ke maro ko	0	0
ab aur na jane meri taqadir me kya hai	0	0
kar de o goree jara aankho se ujaale	0	0
hum log khilaune hai ek aise khiladi ke	0	0
raho saath magar ehsaan karo jo mushkil hojae jeena 	0	0
tera mera pyar amar, phir kyo mujhko lagta hai dar	0	0
meri jan wah wah wah 	0	0
aahe bharu, ro ro maru	0	0
mala hindi nahi te bola marathi mai hu kaela are mai hu akela	0	0
meri sab kuchh meri taqdir meri zindagi	0	0
ra :	ham akele hai shahanaa_iyaan chup hai 	to kanganaa bolataa hai	0	0
mera sath kaha tak dogi tum  mai desh videsh ka banjara	0	0
tere ghar ke samne, aamne saamne, shaadi ke baad	0	0
ek tu na mila	0	0
to baki raha kya 	0	0
bada maja aaye mai manau or tu ruthe, or tu ruthe	0	0
ho o o o tadapta hai us par koi	0	0
ham dua bhi de to lage hai gaali	0	0
yammaa yammaa, yammaa yammaa, ye khubasurat samaa	0	0
nachte nachte aaj mar jaungi, jai shiv shankar	0	0
chhaliya mera naam	0	0
chhan se lekin anajane me chhanak gai painjaniya	0	0
aayi hain bahaaren mite zulm-o-sitam	0	0
achha is ka kaam nahin 	0	0
khuda ne khud banaya hai hame to aapki khaatir	0	0
li angdayi uth gayi bahe, tham gaye raste ruk gayi rahe  	0	0
sabji madi baraf padi thi baraf me lag gai thadi	0	0
aisee bate na karo hasin jadugar	0	0
aaj to jati hu mai le-le wada kal ka	0	0
jumme raat ko, haan haan aadhi raat ko	0	0
jalakar jo chhip gaya hai vo paravana dhundhati hun	0	0
mere tan pe pada jo saaya, phir kya hua	0	0
masti ke ghero me, khushabu ke dere me	0	0
ankhe samajhe	0	0
o ise mere hi tu naam laga de	0	0
mai anpadh tu likhi padhi kaise apni aankh ladi	0	0
aaj kal kaliya badi shokh hua karti hai	0	0
o chhup chhup ke mil jana	0	0
tadapaoge tadapa lo hum tadap tadap kar bhi 	0	0
dur se mil ke, chain naa aaye	0	0
khatm afasana hai aansuo ki zuba	0	0
oy tir kaman ho gayi, reshama jawan ho gayi	0	0
kahate hai log ki kharaab ham hai	0	0
bole kangana kisika o sajana jawani pe zor nahi	0	0
yaad tu aaye man ho jaaye bheed ke beech akela	0	0
mai tumhare liye aansu bhi hansi bhi laya	0	0
to hans ke wo boli abe nam se hai kya kam	0	0
bolo tumko ikraar hai, haan hai 	0	0
koyi jo mujhko haath lagaayega, haath na uske aaungi	0	0
ab to meri daasta ho tum	0	0
vo chanchal mukhda rehta hai	0	0
kaha ka ujala abhi vahi raat hai	0	0
jaadu banake teri aankho me rukaa chal naa sakaa	0	0
tere raste ki main yek dhul hun, ud jaunga	0	0
mehbuba ae mehbuba ho ho ho	0	0
ham mohabbat se	0	0
raat hasi hai javan hai nazare, jhum chale ham dil ke sahare	0	0
mai bhi tere saath hu, dil bhi tere saath	0	0
naam abdul hai mera, sab ki khabar rakhta hu	0	0
parvat ke is paar parvat ke us paar	0	0
rok legi koi dali meri baho ki tarah 	0	0
wo pyar ki kitab ho to kya bat hai	0	0
aa aa mil ke daman daman se bandh le	0	0
jhutha hai sara jahan, sachha teraa pyar hai	0	0
ji bhar ke tadapaale ji bhar ke pyaar kar ji bhar ke 	0	0
roz mai apane hi, pyaar ko samajhaaun	0	0
unchee unchee diwaro see, iss duniya kee rasme	0	0
chhod  do ye reet re	0	0
lo dil tham lo ai zami aasama ye muhabbat ki dasta suno	0	0
ab bhi teri zulf ke mast saaye	0	0
billi tota maina ki kahani bhi sunayengi	0	0
tu aur na mujh ko tarsana	0	0
o saathi chal mujhe leke saath chal tu yun hi din-raat chal tu	0	0
mai tulsi tere aangan ki 	0	0
dekh ke mujhako yun na lajao dil pe phir qabu na rahega	0	0
jo jisse mila sikha hamne, gairo ko bhi apnaya hamne 	0	0
jalane vaale chaahe jal jal marege	0	0
jogan nadiya par ho diwani ka diwane se	0	0
haay ri qismat adhi qismat dekh saki naa meri-teri khushi	0	0
o gori nadiya ki dhaaro se khelu	0	0
sab kahte hai tune mera dil le liya	0	0
ke bhangda, ke bhangda 	0	0
do din jamana hai ye ye bahar to chali jayegi	0	0
todo matki ko or uncha or or or	0	0
pichhe pichhe sapno ke bhaage	0	0
hame jab naa honge toh aye dilruba	0	0
aate jaate huye mai sab pe nazar rakhta hu	0	0
mar jati bechari achchha 	0	0
kuchh ho gaya to phir na kahna	0	0
kanch ki chudiya, kanch ki chudiya  	0	0
vo kya hai, ek mandir hai	0	0
dhundo dhundo re sajana dhundo re sajana more kan ka bala, ho	0	0
ye rut ki rangraliya, ye phulo ki kaliya ro padi	0	0
rang badalate parwat ke dil mein	0	0
jaise motiyaa chameli, jaise pyaar ki haveli	0	0
charno me inko le aayi	0	0
garibo ki suno wo tumhari sunega 	0	0
nazar nahi churaanaa sanam	0	0
bala ek kuwari	0	0
phir koi dilwala kahe ko ghabaraye, trampam 	0	0
mai ye bhul jaunga mera dil	0	0
ke preet dilo me palti rahe	0	0
apane bimar pe, itana bhi sitam thik nahi 	0	0
tabahi to hamare dil pe aayi, aap kyo roye	0	0
prem kahani me ek ladka hota hai, ek ladki hoti hai	0	0
yaari chhute na tute na ha kar li to kar li	0	0
hans ke lipat gaye dono hua jab wada pyar kaa	0	0
thaa bachapan badaa aashikaanaa hamaaraa	0	0
bhadada to paao zara jat ji 	0	0
dil ki umange kya batlau	0	0
yuun chamak raha huun jaise koyi moon	0	0
tere bina zindagi bhi lekin, zindagi, to nahi	0	0
shor machadegi payal kamjat, haye	0	0
dooje ko phansa	0	0
e milnaa to nahi to nahi kuchh ek baar ka	0	0
hans ke sahungaa saare duniyaa ke ye gam	0	0
ek dil ek jaan hain ham tum, jamaana kya kahega	0	0
manzil tere pas khadi hai tu banhon me le le	0	0
ho jalta hain jiya mera bhigi-bhigi raato me	0	0
har koi ye samajhe hogi vo koi chachal hasina	0	0
