Song lyrics	Mood	Offensive
jiye pyar mein log kaise ke soni te mahiwal jaise	0	0
bure kam ka bura natija kyon bhai chacha, han bhatije 	0	0
la: pavan kare shor	0	0
kabhi alvida na kehna, kabhi alvida na kehna	0	0
apne hote yaar ho , gham-geen matlab ham nahi	0	0
pyar ki khatir insan kya hai lad jau mai rab se	0	0
koi ham dam hai chahat ke kabil	0	0
koi aaya koi aaya aane bhi de	0	0
jab maal laga hai ghatne laga kaleje fatne	0	0
samjho agar mere dil ki zuban 	0	0
aankh jhukaake kuchh naa boli	0	0
ghunghata, kholun na kholun, na kholun, kholun re	0	0
rama rama ho rama rama rama rama gajab hui gava re	0	0
ye vadiya ye fizaye bula rahi hai tumhe 	0	0
aani gani duniya fani baki hai allah ka naam	0	0
yaar ko tune dulhan de di rah gaya main hi kuwara	0	0
dhara jo bahati hai, milke rahti hai	0	0
mahangaai ki daur me ho gayi mahagi yaar ki yaari, kaise vaqt me 	0	0
ye vo badaqismat maa hai jo, beto ki sez pe leti hai	0	0
ye tab ki baat hai ha ha baat hai	0	0
jo nazar ko shaakh laae, vo hi sambhaal le	0	0
hurr	0	0
mai toh tera dil lungi tujhse chupa ke najar ko bacha ke	0	0
tale tute hote hai, jab savera hota hai, ya 	0	0
dil ka chaman ujadate dekha	0	0
jaa_un kahi ye khayaal kahaan	0	0
yeh paani bahte bahte kah raha hai	0	0
piyo to tumhare liye huka bhar de	0	0
diya bhi jala ke rakha raton ko chaubare mein	0	0
tujhko to hai masti me jina jile	0	0
sochata hoo ke meree aankho ne, kyon sajaaye the pyaar ke sapne	0	0
khel kud se jab mere munne ka dil bhar jayega	0	0
gahano kee mujhako jarurat nahee hai	0	0
arrey matlab iska tum kaho to kya hua	0	0
kisne liya kisne diya, kisne kaha maal chhupa rakha hai	0	0
pehle solha paiso ki to hoti thi chavani	0	0
jhume ja mastane chede ja tarane	0	0
zara nazro se kah do ji	0	0
jawani o diwani tu zindabaad	0	0
na dil tum ko dete na mazbur hote	0	0
