Song lyrics	Mood	Offensive
dil ko mili jo tumhaari lagan	0	0
jo kahi gayi na mujhse wo jamana kah raha hai 	0	0
inhi logo ne inhi logo ne inhi logo ne inhi logo ne 	0	0
duniya samajhe moti barse mai jo kuchh bhi bolu	0	0
wo kali to khilegi pyar se jo milegi 	0	0
uda hai kis liye tera rang gori	0	0
chand tadap kar usake gore kadamo pe gir jaaye 	0	0
kal ki hasin mulakat key liye aaj rat ke liye	0	0
haay, haay re, nahi lagi, nahi lagi	0	0
dil chahta hai vo kahne do	0	0
main maike chali jaaungi, tum dekhte rahiyo 	0	0
nikali vo andheri raato me	0	0
tumko hansa diya pyaar sikha diya 	0	0
phir bhi na samjha bagiya ka mali	0	0
toone o sanam dhaye hain sitam to yeh tu bhool na jaana	0	0
chhodo bahana na na	0	0
mohabbat na hoti	0	0
meri bheegi-bheegi si, palkon pe rah gaye	0	0
to ek do tin ho jaati hai 	0	0
hai tumhare hath me garibo ki suno	0	0
tujhe pata bhi na chalega ye jab hoga	0	0
sharbati aankho se do ghunth pine do mujhko	0	0
chachal dhara bahata pani bahata pani, haiyya ho haiyya re haiyya	0	0
mil-julake is vatan ko, aisa sajayege ham	0	0
rambha ho ho rambha ho ho rambha ho ho rambha ho ho	0	0
roj rat ko tere ghar hogi teri chori ho chori	0	0
maang ke saath tumhaara	0	0
phool chehro ke bhi muskurate rahe	0	0
dhire se jana khatiyan me o khatmal 	0	0
kha ke ban gaya tagda ghoda maine pakadke use maroda	0	0
vaqt ki thokar me hai kya hukumat kya samaj 	0	0
mardo ki havas hai jo aksar, aurat ke paap me dhalti hai 	0	0
bich bhanvar tune chhoda, mere prem se munh moda	0	0
dil ki ae dhadkan thaher ja, mil gayi manzil mujhe	0	0
machalke a gayi lahare bhi ab isharo par	0	0
biviji ho biviji hone vali biviji	0	0
to hari nam ko jap ke gangajal pi lena	0	0
arey dol na hans hans kar 	0	0
mitti nahi chitthi	0	0
of fo aage bhi to bolo na, batata hu batata hu 	0	0
kya in hotho ko main apna 	0	0
jiska miya ganja vo dete hai hawale	0	0
lakh maine bchaya magar lut gaya	0	0
niyummaa	0	0
madhuban me radhika nache re 	0	0
aisa hai apana chakkar	0	0
ye kya hua, kaise hua, kab hua, ab kya sunaye	0	0
kal tere jalwe paraaye bhi honge	0	0
ye dard-e-muhabbat sahne do	0	0
o daiya re daiya re chadh gayo paapi bichhua	0	0
dil dhundhta hai	0	0
aaj koi nahi mera sasar me 	0	0
maine pyar karke chain khoya, nind khoyi	0	0
pagali pagali	0	0
chhanv me in ke aanchal ki	0	0
chala gar safar ko koi besahara	0	0
ek ke do, do ke chaar, mujh ko to, dikhte hain	0	0
yuhi umr guzar jaaye, tere saath guzar jaaye	0	0
dhadakan hai mere dil ki subah ho yaa shaam	0	0
tayyab ali pyar ka dushaman haaye haaye	0	0
kyu ye bachche ma se bichhdate	0	0
ek pal ki palak par hai thahari huyi ye duniya	0	0
to jhume ye dharti aur jhume asman	0	0
khel jeevan maran kaa	0	0
to phir chal baithe church ke pichhe	0	0
usane bidaa thaa uthaayaa re bhalaai kaa	0	0
tujh pe umid-e-vafa ban gai ek khata	0	0
amar akabar enthoni, amar akabar enthoni	0	0
jaa jaa	0	0
mujhko thand lag rahi hai mujhse door tu na ja	0	0
ho ho ho ho kaajal ki rekhaa 	0	0
abb toh haske apni bhi kismat ko chamka de	0	0
dosto apna to ye imaan hai, jo bhi jitna saath de ehsaan hai	0	0
pyaas to hai in hontho par, lekin haatho mein jaam nahi	0	0
acha hai kharab hai, bura hai nek hai	0	0
pankh binaa ye udti jaye	0	0
or nahi kuch sujha har pooja se badkar dekhi	0	0
itane karib aao ke ik ho jaye ham	0	0
palko chhalko galo pe dhalke	0	0
babu ji jayege daftar to pkode khakar	0	0
thoda sa mere dil me ye dar hai	0	0
tere hi to sar pe muhabbat ka taaj hai	0	0
na ye badal na ye tare	0	0
aahaa haahaahaahaa pyaar kaa mausam, besharam 	0	0
rang meri patang kaa dhani hai yeh nil gagan ki rani	0	0
rim jhim jhim gaye jharane ki dhaar	0	0
tujhko pake ho gay pure ab ye sapne mere 	0	0
aji tumhaare, haa haa haa haa	0	0
dhadakti fizao me rehne ki raat aayi	0	0
dur kahi ek panchhi gaye ye samajhaye 	0	0
mummy ko to ladne ka bahaana chaahiye	0	0
pichhe hai bachpan diwana, aage budhapa sayana	0	0
main dhadakan ke har raag mein bas rahaa hoon	0	0
log kare miraa ko yun hi badanaam	0	0
tore hontho se lag jaaungi mai	0	0
mere in khayalo me tum bhi dub jaao	0	0
ha ha khuli khuli is julfo ka saya 	0	0
lena dena hai kya mujhe duniya se tujhase kam hai 	0	0
git tere bolo pe likhataa chalaa jaaun,	0	0
tun tun tun tun tun tun	0	0
o dil ye chaahe baharo se khelu	0	0
dont stop let the whole world know	0	0
rahi manva dukh ki chinta kyu satati hai	0	0
kyo ham jaye mandir me pap hai tere andar me	0	0
garibo ki suno garibo ki suno wo	0	0
phir hai sajna ojhal kyu meri nigaho se	0	0
gam jab sataye, seeti bazana 	0	0
koi khel to nahi, ye hai pyaar meri ja	0	0
o o mere raaja khafa na hona, der se aayi, dur se aayi	0	0
phir jo ho ho so ho, phir jo ho ho so ho, hay	0	0
kaise bhala chhutenge kabhee	0	0
tere liye tadap raha hu 	0	0
bechain nazar, betaab jigar, ham sabko gale se laga le	0	0
ise kaise dil se juda karu	0	0
jo kahi gayi na mujhse	0	0
chahe jaha bhi ho phul ho man ko lubhayega	0	0
chaand ke tale jalenge ham aye sanam raatbhar	0	0
ye jahaaj jaayega ji sidhe deharaaduun	0	0
ganga sath nahayege, ganga sath nahayege	0	0
dekh ek se badhakar ek, mai laayi hun tohafe anek	0	0
thaam kar dil uthe ham kisi ke liye	0	0
baag ne kaha har kali ki kasam nahi nahi nahi	0	0
tere rup ka main mara, mere pyar ki tu mari	0	0
chashme pat ashiqaar yaar nazar aata hai	0	0
ek roj khul jayegi tut ke ye, kitni najro ke teer sahti hai	0	0
khak pe tum rukoge chalte chalte	0	0
aadhi haqikat aadha fasana	0	0
aise na anchal bachalo sanam	0	0
hay re mai tere kurban 	0	0
hindu na mulsim, poorab na pashchim	0	0
dil chanda ka le aayenge suraj se aankh milayenge	0	0
phir tu apna byah racha le mai launga aur chandi ki payaliya 	0	0
chahat se ye mang bharungi bindiya ka main chah karungi	0	0
jisko bhi dekhun duniya bhula dun	0	0
tumhi ho bandhu sakha tumhi ho	0	0
mai to har mod par tujhko dunga sada	0	0
mai rahi hu mohabbat ka, akela ab na chhodo tum	0	0
ek rasta aha aha do rahi aha aha	0	0
kitne jawan kisse ban jate hain un kisso me chund bhul jate hain	0	0
waah waah cha cha cha, kya khub cha cha cha cha	0	0
har kalii ham pe shak kar rahii hai	0	0
kha lo kasam ise hath na lagayenge 	0	0
ghar-var naam-vaam mai kya janun re	0	0
sar se bandha hai kafan ko	0	0
aasmaan me udne waale mitti mein mil jaayega	0	0
tabhi to chanchal hai tere naina	0	0
apne jiwan ki uljhan ko kaise mai suljhau	0	0
are pahuncha denge uske kano tak hum ye teri baat	0	0
dil dil pal pal runjhun runjhun 	0	0
arey jatadhari ke nam balike ek rassi lena	0	0
khuda ne ye dil kyun banaya, yaha jisne bhi dil lagaya	0	0
jhutha kahi kaa	0	0
help me please to find the locker	0	0
he lina o lina dil tune chhina, chhina chhina	0	0
tum chal rahe ho, hum chal rahe hai	0	0
sukh leke dukh de gayi	0	0
resham sa ye rup salona yauvan hai ya tapata sona	0	0
parda hai, parda hai, parda hai, parda hai	0	0
dekhaa ek kvaab	0	0
jab phul koi khiljaye lahrake bhawra aaye	0	0
maayusiyo kaa nagma dil me	0	0
chaal chali hai sochake hamane, is khel me apani maat nahi	0	0
is jami se alag aasmano se dur	0	0
gaye koyal tera hi geet, guiya	0	0
so ja tohe nindiya pukare, tim tim karte	0	0
teri najro ki pyasi kabhi thi mai teri dasi ab hu mai teri malik sun	0	0
gao mil mil jo tum saaje 	0	0
yaad na aana bhul na jaana	0	0
kaha sapno me aake o gori	0	0
duniya 	0	0
udne lagu mai kahi aasma me	0	0
jab tak hai dam chalo chale ham daal ke baahe baaho me	0	0
tere milan me sukh hain sare 	0	0
tumhara hi koyi tarana milega	0	0
aankho di zindgani	0	0
yaad nahi mera pyar yahi hai ya meri manjil aur kahi hai	0	0
