Song lyrics	Mood	Offensive
tut jaaye jo koyi tod ke bhaage	0	0
kaanchi re kaanchi re, kaancha re kaancha re	0	0
ye wakt tumpe aa jaye pyar me, to ye geet gaana	0	0
kaise rahun chup	0	0
prem ki bhasha ui prem ki bhasha	0	0
pyar ki jisme hoti hai puja ye pritam ka ghar hai	0	0
ab ye dhul ye sadak apna jahaan, apna jahaan	0	0
nadi ki mast adaye bula rahi hai tumhe 	0	0
din-b-din vo mere dil se	0	0
bolo kya dil bekraar hai, hai 	0	0
mai agar bichhad bhi jaaun, kabhi meraa gam na karanaa	0	0
chhota sa ghar ho apna, pyara sa jag ho	0	0
ho baakpan tera pyar ki ada, hosh le gayi sarkar ki ada	0	0
ho o o o	0	0
aai hi hi o ho ho ho	0	0
kabhi kuchh kahati hai, kabhi kuchh kahati hai, zara nazar ko sanbhalana	0	0
jayegi meri doli tere hi aangna	0	0
aji andar kya hai, aji baahar kya hai	0	0
ke tak tak nain thak gaye jind meriye	0	0
hum bahut ho ya kam baant lenge 	0	0
tujhase milake zidagani hay kitani suhani ho gayi	0	0
koi mane ya na mane, sach kah gae hain log purane 	0	0
aankho kaa ujaala pardesee le gaya	0	0
gila tumase nahi koi, magar afasos thoda hai 	0	0
jaungi unke ghar, jinse laagi lagan	0	0
bazm yun hi khili rahe apani nazar mili rahe	0	0
dono sath bajayenge  sath-sath khanakayenge	0	0
kon ye jane kab mil jaye raste me ham raz koi	0	0
kaisa chor kaha ki chori kaisa chor kaha ki chori 	0	0
man bina ke madhur suro me, gate hai sab prem tarane	0	0
my heart is beating, keeps on repeating	0	0
kisi se kya gila, 	0	0
kaliya chura ke tera gazra banayenge	0	0
ha ha baat ban jaye	0	0
taare ginata mai rahata hun, jagata rahata hun, raato me	0	0
aaun jamuna ke tir jamuna ke tir jamuna ke tir re	0	0
meri jaan wah wah wah	0	0
tu sab kuch jane hai har gum pahchane hai	0	0
nahi bhulti uf wo jangal ki raat, yad hai wo thi mangal ki raat	0	0
ye jo aap hi unse ruthh gayi	0	0
tukar tukar kya dekhta hai beiman 	0	0
nambar sath kare jo danga ek hath me	0	0
meri baat bane na bane	0	0
tu jo kuchh bhi aaj kahegi hoga ik bahana	0	0
kaho pyar hai tumse, o sily	0	0
pyaar ki galiya, baago ki kaliya	0	0
pehle bhi tumhe dekha pehle bhi tumhe chaha	0	0
aisa na ho teri yad me main bad me aahe bharu	0	0
hamko dar hai ke ye tauhin-e-muhabbat hogi, muhabbat hogi	0	0
mehanat kare insan to kya kam hai mushkil	0	0
badan aanch khakar pighalte hue	0	0
itana bhee dur mat jao, ke pas aana mushkil ho	0	0
tujhase maangee thee ek khushee maine, tune gham bhee nahee diye apane	0	0
mat bhool aare insaan	0	0
shisha ho ya dil ho aakhir tut jata hai 	0	0
zindagi me gum bhi milte hai	0	0
surama meraa nirala, aankho me jisne dala	0	0
hansta hai koi surat pe meri	0	0
ho chandamama dur ke, puye pakaye bur ke	0	0
naihar se ghar jati dulhan kyo naina chhalakaye	0	0
haay haay yeh majburi, yeh mausam aur yeh duri	0	0
are bolo re jisne banaya rup re	0	0
anaadi divana	0	0
dil se nikli hay mujhe jab dekha nain jhukaye gulo ki dali ne	0	0
ha baba ha janati hu 	0	0
biraha ki agani ko asvan se bujau kaise	0	0
meri jaa husn pariyo sa kaha se laayi ho bolo	0	0
matalabavaa ek hai ek hai nainan pukaar kaa	0	0
mujhe ek jagah aaram nahi ruk jana mera kam nahi	0	0
sare chirag buj gaye mai dekhata raha	0	0
ik nazar fer le jine ki ijaazat de de	0	0
sab ke sine me yahi dard ubharate hoge	0	0
pyaar se sikhalaiyo o o	0	0
mujhe bhuk nahi lagti mujhe pyas nahi lagti	0	0
kimat waare aayenge dwaare leke sang barat re 	0	0
bura hota hai raho me machalna, aji achha hai ruk ruk chalna	0	0
cause love u know	0	0
har baar tumhi ne maang bhari	0	0
ik ghar banaunga, tere ghar ke samane	0	0
hm hm hm hm hm	0	0
apana bana le meri jan 	0	0
hota hain jab pyar to lagata hain pani sharab	0	0
aanaa hai baar baar, aanaa hai baar baar	0	0
ro raha dil mera 	0	0
ho gagariya phod daari	0	0
issaro ko ager samjho to raz ko raz ko rahne do	0	0
reh gayi zanjeer-e-sitam	0	0
aqabar mera nam nahi hai	0	0
sirf itni si khata par hume dushman jana	0	0
lena hoga janam hume kayi kayi baar	0	0
gi: kaisa ye pyar hai, kaisa ye naz hai	0	0
ulfat meri jiti anaadi piyaa haare	0	0
mere taal taal kyun tu faraar, bas tu hi mit ghanera hai	0	0
thokar lage na sambhalo sanam	0	0
ghar mere aya wo mehaman	0	0
are bachaao, are bachaao, 	0	0
prit bhare man ki ye duniya	0	0
duniya ki nazro se dur jate hai ham tum jaha	0	0
mat puchho auro ke dukh me, ye prem kavi kyu rota hai	0	0
naino vaali tere dvaar leke sapane hazaar 	0	0
sath tera nahi	0	0
aa tujhe main de doon prem ki nishaniyan	0	0
chal chhodo ise diwani mat kar barbad jawani	0	0
ke tera haal kya hai, ke tera haal kya hai	0	0
muthukodi kawadi hada muthukodi kawadi hada	0	0
kyo na kah de mohabbat khuda hai	0	0
duniya bhar ke dande sar pe khaye danadan	0	0
awaara badal ko saudaayi paagal ko	0	0
mai pital kee payaliya bhee pehanu jo panv me	0	0
ya qurbaan, ya qurbaan, ya qurbaan, ya qurbaan	0	0
phir se kahi ab jod dunga ari tere bina hatho se apne	0	0
kisine chalo dushmani ki magar 	0	0
kitni gehari jhil hai ye jhil se gehari do aankhe	0	0
c a t cat, cat maane billi, r a t rat, rat maane choohaa	0	0
jab zulmo ka ho samna tab tu hi hame thamna 	0	0
kurta malmal ka ho kurta malmal ka	0	0
tut naa jaaye sapne mai darta hu	0	0
jamin phat jayegi, jamin phat jayegi suraj kaa gola tut jaayega	0	0
aake maikaane me jine kaa sahaaraa kar le	0	0
pee ke mukh se basuriya	0	0
har taraf bajne lagi, saikdo shahnaiyaa	0	0
kis liye kis liye ho 	0	0
is par jo ankh uthayega zinda dafnaya jayega	0	0
jamin toh hai, jamin yeh aasman ko bhi hilaayengi	0	0
hath pasare phirta hai	0	0
ab ye sapne mere 	0	0
kitne hasin khwab ban jate hain uname se 	0	0
ye gotedar lahanga niklu jab dal ke	0	0
dhire se tera ye muskana 	0	0
ho rabba itti si bat na jana	0	0
thake hue in haatho ko dede mere haath me	0	0
dhum machi hai maikaane me, tu bhi machaa le dhum dhum dhum	0	0
hu hu hu hu hu hu	0	0
ik baat kahenge sabase nafrat ko mita jag se	0	0
fizao ka nazaro ka mai mastana musafir hun	0	0
dhire se jana khatiyan me 	0	0
dekha hasa diya tujhe o tange wale yar	0	0
shisha-e-dil itana na uchhalo	0	0
dha ma dha marte hai, ma re ma jite hai	0	0
teri bewfaayi pe, hanse jag saara	0	0
koi na mile to akele me gana	0	0
aji dekhiye to kya haseen rat hai	0	0
mitwa mere yar tujhko bar bar aawaj mai naa dunga	0	0
dhundh dhundh ke har insaan	0	0
daddy phir dekho sapne salone	0	0
anchal na chhod e mera, pagal hui hai pavan 	0	0
yaadon me vo sapno me hai jaayein kahan	0	0
	nain se tere is maang me jaise sitaare bhar ga_i hai	0	0
udhar uthaya idhar bithayapakad ke meri baiya ji	0	0
kali ghata chhayi, prem ruth aayi	0	0
akhiyo ke jharokho se, maine dekha jo saavare	0	0
pichhe gujara hua ek zamana bhi hai	0	0
meraa kyaa hogaa, socho to jaraa	0	0
usne kaha takta hai kya, maine kaha surat teri 	0	0
divaar-o-dar ko gaur se 	0	0
kavaariyo kaa dil machle jind meriye	0	0
mahake badan me raha na jaye, raha jaye na	0	0
koyi tujh sa nahi hajaro me	0	0
jhutha kahi kaa ha, hare raama hare krishna	0	0
hungama sadak par hone ka sabab hai	0	0
ho chachal chalak magar aurat ka dil jane nahi	0	0
ha joru teri sar ghumegi roz kahegi gadha	0	0
kahaan le chalaa hai manavaa	0	0
samajh kar zara gaur farmaiyega	0	0
aaye mere sapne to ye kar na de inkar	0	0
chahat ke dastur tujhko sikhaaun chahat ke dastur tujhko sikhaaun	0	0
jo kuchh nahi toh yeh ishare kyon, thahar gaye mere sahare kyon	0	0
mushkil nahi hai kuchh bhi	0	0
agrezi me kahate hai 	0	0
