Song lyrics	Mood	Offensive
tum hasi ho, tumhe sab pyaar hi karate hoge	0	0
kaun rota hai kisi aur ki khatir ai dost	0	0
jhumta mausam mast mahina, chand si gori ek hasina	0	0
utha dheere dheere wo chaand pyara pyara	0	0
khuda ki kasam aaj paise vasul paise vasul	0	0
are kasturi ko khojata phirata hai yeh banjara	0	0
dil pahuncha vahan	0	0
hath jodta hu tere paw padta hu chal mere bhai chal	0	0
pyar me ho jate hai apane dard paraye	0	0
yeh paani rang laayega, yeh paani rang laayega	0	0
jis dil me basa tha pyar tera	0	0
akele hai chale aao jaha ho	0	0
hamne bhi dekho aaj, hans hans ke pahne	0	0
main bhi tumhaari santaan prabhuji 	0	0
haan mera sasura badha paise waala	0	0
husn pe to asar hone waala nahin	0	0
e bhaai, zara dekhke chalo, aage hi nahi pichhe bhi	0	0
dekha na karo tum ayina 	0	0
har tale ki chabi rakhe har chabi ka tala 	0	0
jab tujhe maine dekha tu bhaayi main usi waqt kadmo me aayi	0	0
aur chabhi kho jaaye, aur chabhi kho jaaye	0	0
tere liye rone ko bahut umar padi hai	0	0
mohe panghat haan	0	0
mithi yade sunder sapne 	0	0
haq na paraaya kabhi khaayege, sasur-ji	0	0
darwaza khatkhataayalagta hai koyi aaya, 	0	0
are ha ha, are ha ha, are ha ha, are wah wah	0	0
bhagavan ke pas bhi mata tere pyar ka mol nahi	0	0
lut gayi are lut gayi shrafat sadko pe, aaye kyamat ladko pe	0	0
matwali aankhowale o alabele dilwale	0	0
yeh husn-o-isk ka ye jehan, yeh shokhiya yeh mastiya	0	0
aye come here not here up there in the sky	0	0
aapke kamre me koyi rehta hai, ta ra ra ra	0	0
kahta hi tumse dil ka ye mor, jiwan me ek baar aana singapur	0	0
kahi chataki kali koi mai 	0	0
taarif karu kya uski, jisne tumhe banaya	0	0
haan jaake, baabul se, nazren milaaun kaise,	0	0
yari ho gayi yar sey, lak tunu tunu	0	0
usha ne aanchal phailaya	0	0
mai shaayar to nahi	0	0
manjil meri	0	0
mai to har mod par tujhko dunga sada	0	0
musaafir mai tu mazil hai 	0	0
pehale se hi dil mai bitha lo tum thak jaoge	0	0
itni si chhoti si hoti hai ek chingari	0	0
akele hai chale aao jaha ho 	0	0
sau baar jhilmilaye shama aaftab ki	0	0
duniya me pyar ki ek hai boli	0	0
le baiya tham gori gulabi	0	0
mushkil nahi hai kuchh bhi agar than lijiye	0	0
main jo bolu aisa lutera	0	0
shyam ne bansi bajayi ahahaha	0	0
nind bhi churai tune dil bhi churaya	0	0
do pal ko raahi, are mil jaye bahal jaye	0	0
sabhi se jawani me 	0	0
ye sabaka dil bahalaaye mai inka dil bahalaaun 	0	0
dil ki in bato ko mushkil hai samjhana	0	0
are yaha to koi bhi nahi hai bhai, koi bhi nahi hai	0	0
o maajhi re,  apanaa kinaaraa,  nadiyaa ki dhaaraa hai	0	0
raah me chhod ake saayaa bhi chalaa jaataa hai	0	0
jis husn ke jalwo par dil hamne lutaaya hai	0	0
chiz vo nazuk badi hai tut jati hai	0	0
apne dil me rakh loon tumko duniya se chupaun	0	0
karta hai sabko deewana 	0	0
manzil pe aaye koyi naina milaye koyi	0	0
mere aangan barat leke saajan tu jis raat aayega	0	0
hum intzaar karenge	0	0
aadha jawan re aadha jawan re	0	0
disco diwane disco diwane aahan aahan	0	0
chhodo hato, jaao pakdo na baiya 	0	0
ek divana shahar me	0	0
ghar ho tera ghar ho tera jis nagari me chaahe jo ho tera naam re	0	0
kahi bite na ye raate, kahi bite na ye din 	0	0
chum na le kahi paanv tere, o kheto ki raani	0	0
bhaiya mere	0	0
agaye zaval ye lajo nako, agaye zaval ye lajo nako	0	0
kitna sambhala bairi do naino me kho gaya	0	0
pata puchhti hai sabse tihare gam ka	0	0
mangta hai to, mangta hai to	0	0
aapase pehale kahin, hamane dekha hi nahi	0	0
mujhe sooli chadha do ya sholon pe jala do	0	0
jo badnami ka dar tha to phir pyar kyon kiya	0	0
ganga jal se praan	0	0
kudi shandar hai	0	0
kal kya ho kya jane jane ye tumhari bala	0	0
ghar wale ab hum ko khud lene aayenge	0	0
sar pe khada manjhadhar ho	0	0
o phir bhi mare hamko kode phir bhi mare hamko kode	0	0
dhire-dhire aakhir band kali muskayi	0	0
kaise mujhse nazar milaoge	0	0
nazaro ka fizao ka isharo ka, mai mastana musafir hun	0	0
bade hain dil ke kale ha 	0	0
bebas manjhi chhute jaye patavar ho, haiyya re haiyya	0	0
pilayi hain tumne jo pyase ka shabnam	0	0
chakori, o gori, tu kahaan chali 	0	0
ho~ o~	0	0
inhi andaaz ne maar daala hame na tumhaari khata na hamaari khata	0	0
mere jivan saathi bata, dil kyo dhadke rah rah kar	0	0
jo tune na sunaaye, to dil machale 	0	0
magar jo ek din mai gujri gali me sarkaar ki	0	0
aankh me kajal muh pe pasina	0	0
chaand ka dola saje dhum taaro me mache	0	0
jaise natak me ho raja hota hai, rani hoti hai	0	0
chota sa jivan, lambi judayi	0	0
mukhde se hata do aanchal, ho jaye dur andhere 	0	0
