Song lyrics	Mood	Offensive
mera haq tha teri, akho ki chhalakati may par 	0	0
yaar ladki shandar hai	0	0
dhadakate dilo pe jawaani rahe	0	0
use mil gayi pyar ki ik pari	0	0
mai naachu tum naacho	0	0
ye sach hai e he o o e he o o	0	0
kabhi khushi kabhi gam, tara ram-pam-pam	0	0
guzarati nahi zindagi bin sahaare	0	0
wo bhi mujhe karna pada aiyo amma	0	0
main madrashi chhokri, mujhe tumse pyaram	0	0
unchi udaan hai, palako pe jaan hai	0	0
rahana mere sang ma har dam	0	0
phir kuch nahi bhata, jab rog ye lag jata	0	0
tu mungda, oh mungda, mai gud ki dali	0	0
chhod  maza hath	0	0
panv padi janjir hay	0	0
mamata hi lutaye jiske nayan, ho	0	0
in hatho ka jadu jo dikha du, tujhe ghar tak abhi mai pahuncha du	0	0
amma seena tane banhe khole 	0	0
sasuraal se dekho hum aaye	0	0
payal ki jhakar raste raste	0	0
mai kho baitha hosh mujhe yu kar dala madhosh nashe ki pyaali ne	0	0
puchho puchho puchho puchho	0	0
zaraa dil kee jaanib nigaahein jhookaao	0	0
dekho na, tere mere milan ki ye raina	0	0
dekho phir aaya hame kar raha hai yeh bore kaun hai	0	0
ya kahu khaiyaam ki rubayi	0	0
gullu gullu, gullu gullu 	0	0
kal aaya tha kal gaya, kal gaya	0	0
o hay jaan-e-bahaar aa jaa dil ke qaraar aa jaa	0	0
chhedege kabhi na tumhe, zara batalado hame, kab tak ham tarasege	0	0
yadi phir bhi tu phire dil ko tham 	0	0
maujo kaa dosh nahi hai,  ye dosh hai aur kisi ka	0	0
are pad gaya inkam taiksam, jay govindam jay gopaalam 	0	0
rasiya ki ras bhari baato me aa gayi	0	0
jine kaa to jaane kaha dhang gaya hai	0	0
yun hi aavaaraa phiregaa ye teri zulfo ke tale	0	0
chal pade safar ko to mud ke kya dekhna	0	0
aaja piya tohe pyar du, gori baiyaa tope vaar du	0	0
khatao ki talim kya ho gayi	0	0
duneeya ko dikha denge oh 	0	0
shokhiyon ka sama shokhiyon ka sama	0	0
tumpe to hum mar mite hai abhi se jane aage hamara kya hoga	0	0
khud apne hath se ye khun kar chuka hu mai	0	0
iktaara bolo tun tun kya kahe ye tumse, sun sun	0	0
tere reshami julfo ki janjiro se	0	0
jan mile babul ke ghar se, nit mann pyasa, nit mann tarase	0	0
tota maina ki kahani to purani purani ho gayi	0	0
