Song lyrics	Mood	Offensive
tujhko agar ho koyi shanka 	0	0
jara paas aayo toh chain aa jaaye	0	0
use ek khubsurat mod dekar, chhod na achchha	0	0
kabhi to hasaaye, kabhi ye rulaaye 	0	0
are balle balle, bach ke kahi, dube na ye kashti	0	0
mujhko bana diya hai gunaho ka devata	0	0
are suno suno, o bhaiyo, bahano	0	0
mera yar mujhse juda ho gaya	0	0
mujhe too dala de, yeh mumkin nahee	0	0
tu aaya to mahfil me ujala ho gaya	0	0
achchha, age kya likhun, age 	0	0
are bada maza aae hay suno meri bat	0	0
jakhm-e-dil hamne sunaya to bura man gaye	0	0
meri dushman hai ye, meri uljhan hai ye	0	0
jahan mile do jawaan nazar hoti taqraar vahin hai	0	0
na tum meri taraf dekho, galat andaz nazro se	0	0
meri aankho mei aakhe to dal aanhke to dal	0	0
kaun love l o v e mama miya mama miya 	0	0
ham pyaar ka sauda karte hain ek baar	0	0
dil tute to, ye ruthe to tauba kaha phir maanati hai 	0	0
raam na kare mere desh ko, raam na kare mere desh ko	0	0
hai koyi najar vala	0	0
phir ye dhadkan si, char su kya hai	0	0
kabhi to hasaaye, kabhi ye rulaaye	0	0
are pyar huwa hai jab se mujhko nahi chain aata	0	0
kaisa kaisa	0	0
to har rata ko chandani raat kar dun	0	0
kash phir kal rat jaisi barsat ho	0	0
mai samajhaa nahi ae mere hamanashi 	0	0
jab yaad kisi ki aati hai janeman, sach	0	0
kya khabar thi tabhi is dil ki ye halat hogi, ye halat hogi	0	0
ishq jab duniya ka nishana bana aaha	0	0
ghat ghat ka, are pani pike	0	0
rokane se nahi rukate tino, sun le dilabar jaani	0	0
bas aankh mili aur baat badhi	0	0
charo chand ki chanchal chitwan bin badra barse saawan 	0	0
sanson ki sargam dhadkan ki beena sapnon ki geetanjali tu	0	0
muft me ho jayege badnaam kya hoga	0	0
daru ki botal chhodo re anari sharabi 	0	0
tadapti shokiya de du machalta baankpan de du, hay	0	0
chaahe tu aaye na aaye, ham karenge intejaar	0	0
mai ghabraau, dar dar jaau, aaye vo na aaye 	0	0
he diwane ye jawani, koi sajmajaye kya 	0	0
chalate chalate main kisi rah pe mud jaunga	0	0
gaadhi, subhaashh, taigor, tilak, aise hai aman ke phul yahaan	0	0
ya meri aankho ke maikhane se pi	0	0
ab chhupaa lun mai tujhe baaho me	0	0
mera bachpan nahi rutha	0	0
kaun se gaanv me jayega tu	0	0
zindagi bewafa hai to kya, apne ruthe hai humse to kya 	0	0
to balo me gajara hai, ankho me kajara hai	0	0
aap kee yeh pareshaniya dekh kar	0	0
are paise ka khel hai khela, are paise ka khel hai khela 	0	0
chhora gaga kinare vala, chhora gaga kinare vala	0	0
tulati hai kahi dinaro me, bikti hai kahi bazaro me 	0	0
banke aaina tujhe ai janeman	0	0
udi baba, udi baba, udi baba 	0	0
tu pagla naa badlaa	0	0
wallah kamal hai are wallah kamal hai	0	0
kar du pagal	0	0
saari duniya jal jaaye, to phir uske baad	0	0
paas vo aai badi ada se, haa	0	0
tumhare dar pe aayenge, tadapaoge tadapa lo	0	0
mol kya mere dil kaa chukaye	0	0
bhula do mohabbat me hum tum mile the	0	0
ina mina dika, dai damonika	0	0
sar ko jhukaye tu, baitha kya hai yaar	0	0
la ra la la la ra la la ra la la la ra la	0	0
raat ko khao piyo, din ko aram karo 	0	0
beta nahi, beti nahi, tu nahi	0	0
bhi nahi abhi nahi nahi nahi nahi nahi	0	0
aa baiya me aaja milan to ho pura	0	0
dhire se tera ye muskana	0	0
cha cha cha, cross do cha cha cha	0	0
koi sun lega chupke-chupke bate karna	0	0
na a na a na a na a	0	0
chand chura ke laya hu, chal baithe church ke pichhe	0	0
ai chori-chori chupke-chupke, tere mere bin is kamre me aur kaun hai	0	0
ibtedaye ishk me ham	0	0
mera tu, meri tu, mera tu, meri tu	0	0
yaad karoge bar bar yaad karoge mujhe bar bar 	0	0
dil mera tut ke	0	0
jitani tum pyar se ji loge utni hi zindagi	0	0
aayenge jab sajan, aayenge jab sajan	0	0
darbar me upar wale ke andher nahi par dher hai	0	0
kano ko lage hai awaz tumhari	0	0
qayaamat se pahle qayaamat na hoti	0	0
utne rahe pyase hum jitni bhi pee humne	0	0
teen char ho gaya pyar mai to chala jaise bahar	0	0
ik teri jhalki chali aaye pal me meri manzile mere aage	0	0
aa mai teree yad me, sab ko bhula du	0	0
to izhar karne ki jarurat na hoti to izhar 	0	0
aaj nashe me saara jahaan hai	0	0
baksh do iss ko baksh do iss ko mai taiyar hu mit jane ko	0	0
in aankho ki madira pile, chhod ne wala has kar jile	0	0
